"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "Proportion" "Area"
15 "Disk" "McMinnville" 0.15 5 1 0.1 424
15 "Disk" "McMinnville" 0.15 5 1 0.2 931
15 "Disk" "McMinnville" 0.15 5 1 0.3 1498
15 "Disk" "McMinnville" 0.15 5 1 0.4 2119
15 "Disk" "McMinnville" 0.15 5 1 0.5 2800
15 "Disk" "McMinnville" 0.15 5 1 0.6 3547
15 "Disk" "McMinnville" 0.15 5 1 0.7 4374
15 "Disk" "McMinnville" 0.15 5 1 0.8 5295
15 "Disk" "McMinnville" 0.15 5 1 0.9 6361
15 "Disk" "McMinnville" 0.15 5 1 1 7845
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.1 164
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.2 364
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.3 596
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.4 862
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.5 1172
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.6 1534
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.7 1967
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.8 2518
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.9 3305
16 "Ellipsoid" "McMinnville" 0.15 5 1 1 7845
17 "Disk" "Lindenberg" 0.15 5 1 0.1 440
17 "Disk" "Lindenberg" 0.15 5 1 0.2 960
17 "Disk" "Lindenberg" 0.15 5 1 0.3 1535
17 "Disk" "Lindenberg" 0.15 5 1 0.4 2165
17 "Disk" "Lindenberg" 0.15 5 1 0.5 2860
17 "Disk" "Lindenberg" 0.15 5 1 0.6 3618
17 "Disk" "Lindenberg" 0.15 5 1 0.7 4451
17 "Disk" "Lindenberg" 0.15 5 1 0.8 5377
17 "Disk" "Lindenberg" 0.15 5 1 0.9 6436
17 "Disk" "Lindenberg" 0.15 5 1 1 7845
18 "Ellipsoid" "Lindenberg" 0.15 5 1 0.1 143
18 "Ellipsoid" "Lindenberg" 0.15 5 1 0.2 314
18 "Ellipsoid" "Lindenberg" 0.15 5 1 0.3 512
18 "Ellipsoid" "Lindenberg" 0.15 5 1 0.4 740
18 "Ellipsoid" "Lindenberg" 0.15 5 1 0.5 1004
18 "Ellipsoid" "Lindenberg" 0.15 5 1 0.6 1313
18 "Ellipsoid" "Lindenberg" 0.15 5 1 0.7 1691
18 "Ellipsoid" "Lindenberg" 0.15 5 1 0.8 2177
18 "Ellipsoid" "Lindenberg" 0.15 5 1 0.9 2876
18 "Ellipsoid" "Lindenberg" 0.15 5 1 1 7845
19 "Disk" "Croker river" 0.15 5 1 0.1 544
19 "Disk" "Croker river" 0.15 5 1 0.2 1160
19 "Disk" "Croker river" 0.15 5 1 0.3 1818
19 "Disk" "Croker river" 0.15 5 1 0.4 2514
19 "Disk" "Croker river" 0.15 5 1 0.5 3247
19 "Disk" "Croker river" 0.15 5 1 0.6 4026
19 "Disk" "Croker river" 0.15 5 1 0.7 4858
19 "Disk" "Croker river" 0.15 5 1 0.8 5750
19 "Disk" "Croker river" 0.15 5 1 0.9 6720
19 "Disk" "Croker river" 0.15 5 1 1 7845
20 "Ellipsoid" "Croker river" 0.15 5 1 0.1 80
20 "Ellipsoid" "Croker river" 0.15 5 1 0.2 183
20 "Ellipsoid" "Croker river" 0.15 5 1 0.3 301
20 "Ellipsoid" "Croker river" 0.15 5 1 0.4 438
20 "Ellipsoid" "Croker river" 0.15 5 1 0.5 595
20 "Ellipsoid" "Croker river" 0.15 5 1 0.6 778
20 "Ellipsoid" "Croker river" 0.15 5 1 0.7 995
20 "Ellipsoid" "Croker river" 0.15 5 1 0.8 1267
20 "Ellipsoid" "Croker river" 0.15 5 1 0.9 1653
20 "Ellipsoid" "Croker river" 0.15 5 1 1 7845
21 "Disk" "Phillip SW Belize" 0.1 5 1 0.1 359
21 "Disk" "Phillip SW Belize" 0.1 5 1 0.2 795
21 "Disk" "Phillip SW Belize" 0.1 5 1 0.3 1296
21 "Disk" "Phillip SW Belize" 0.1 5 1 0.4 1861
21 "Disk" "Phillip SW Belize" 0.1 5 1 0.5 2493
21 "Disk" "Phillip SW Belize" 0.1 5 1 0.6 3201
21 "Disk" "Phillip SW Belize" 0.1 5 1 0.7 4000
21 "Disk" "Phillip SW Belize" 0.1 5 1 0.8 4914
21 "Disk" "Phillip SW Belize" 0.1 5 1 0.9 6027
21 "Disk" "Phillip SW Belize" 0.1 5 1 1 7845
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 0.1 202
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 0.2 444
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 0.3 723
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 0.4 1044
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 0.5 1414
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 0.6 1851
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 0.7 2374
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 0.8 3027
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 0.9 3972
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 1 7845
23 "Disk" "Lake Charles" 0.1 5 1 0.1 375
23 "Disk" "Lake Charles" 0.1 5 1 0.2 831
23 "Disk" "Lake Charles" 0.1 5 1 0.3 1346
23 "Disk" "Lake Charles" 0.1 5 1 0.4 1923
23 "Disk" "Lake Charles" 0.1 5 1 0.5 2566
23 "Disk" "Lake Charles" 0.1 5 1 0.6 3280
23 "Disk" "Lake Charles" 0.1 5 1 0.7 4086
23 "Disk" "Lake Charles" 0.1 5 1 0.8 5018
23 "Disk" "Lake Charles" 0.1 5 1 0.9 6135
23 "Disk" "Lake Charles" 0.1 5 1 1 7845
24 "Ellipsoid" "Lake Charles" 0.1 5 1 0.1 197
24 "Ellipsoid" "Lake Charles" 0.1 5 1 0.2 438
24 "Ellipsoid" "Lake Charles" 0.1 5 1 0.3 712
24 "Ellipsoid" "Lake Charles" 0.1 5 1 0.4 1024
24 "Ellipsoid" "Lake Charles" 0.1 5 1 0.5 1385
24 "Ellipsoid" "Lake Charles" 0.1 5 1 0.6 1808
24 "Ellipsoid" "Lake Charles" 0.1 5 1 0.7 2314
24 "Ellipsoid" "Lake Charles" 0.1 5 1 0.8 2952
24 "Ellipsoid" "Lake Charles" 0.1 5 1 0.9 3860
24 "Ellipsoid" "Lake Charles" 0.1 5 1 1 7845
25 "Disk" "McMinnville" 0.1 5 1 0.1 424
25 "Disk" "McMinnville" 0.1 5 1 0.2 931
25 "Disk" "McMinnville" 0.1 5 1 0.3 1498
25 "Disk" "McMinnville" 0.1 5 1 0.4 2119
25 "Disk" "McMinnville" 0.1 5 1 0.5 2800
