"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "TotalRad"
154 "Ellipsoid" "Lake Charles" 0.2 20 1 2874464238.34622
155 "Disk" "McMinnville" 0.2 20 1 3346396211.63267
156 "Ellipsoid" "McMinnville" 0.2 20 1 3512275235.89366
157 "Disk" "Lindenberg" 0.2 20 1 3040317946.97313
158 "Ellipsoid" "Lindenberg" 0.2 20 1 3200328412.46264
159 "Disk" "Croker river" 0.2 20 1 3628512479.69818
160 "Ellipsoid" "Croker river" 0.2 20 1 3842767716.89711
161 "Disk" "Phillip SW Belize" 0.15 20 1 2536449808.5392
162 "Ellipsoid" "Phillip SW Belize" 0.15 20 1 2646596644.57493
163 "Disk" "Lake Charles" 0.15 20 1 2565903585.74711
164 "Ellipsoid" "Lake Charles" 0.15 20 1 2683530404.52833
165 "Disk" "McMinnville" 0.15 20 1 3102670399.08275
166 "Ellipsoid" "McMinnville" 0.15 20 1 3276630270.16093
167 "Disk" "Lindenberg" 0.15 20 1 2817912333.88648
168 "Ellipsoid" "Lindenberg" 0.15 20 1 2985752171.18275
169 "Disk" "Croker river" 0.15 20 1 3352415551.33196
170 "Ellipsoid" "Croker river" 0.15 20 1 3574365572.12851
171 "Disk" "Phillip SW Belize" 0.1 20 1 2360355846.24805
172 "Ellipsoid" "Phillip SW Belize" 0.1 20 1 2474443414.46369
173 "Disk" "Lake Charles" 0.1 20 1 2386362669.63884
174 "Ellipsoid" "Lake Charles" 0.1 20 1 2508669680.70882
175 "Disk" "McMinnville" 0.1 20 1 2878896146.06732
176 "Ellipsoid" "McMinnville" 0.1 20 1 3060351907.37393
177 "Disk" "Lindenberg" 0.1 20 1 2613423020.56833
178 "Ellipsoid" "Lindenberg" 0.1 20 1 2788558741.65703
179 "Disk" "Croker river" 0.1 20 1 3097651781.39357
180 "Ellipsoid" "Croker river" 0.1 20 1 3326980507.51724
181 "Disk" "Phillip SW Belize" 0.05 20 1 2199629438.0281
182 "Ellipsoid" "Phillip SW Belize" 0.05 20 1 2317175319.92954
183 "Disk" "Lake Charles" 0.05 20 1 2222287282.28082
184 "Ellipsoid" "Lake Charles" 0.05 20 1 2348801166.58003
185 "Disk" "McMinnville" 0.05 20 1 2673728568.8602
186 "Ellipsoid" "McMinnville" 0.05 20 1 2862075211.83484
187 "Disk" "Lindenberg" 0.05 20 1 2425626968.69209
188 "Ellipsoid" "Lindenberg" 0.05 20 1 2607505317.76391
189 "Disk" "Croker river" 0.05 20 1 2862628012.06853
190 "Ellipsoid" "Croker river" 0.05 20 1 3099055976.82582
191 "Disk" "Phillip SW Belize" 0 20 1 2053293285.7891
192 "Ellipsoid" "Phillip SW Belize" 0 20 1 2173803928.64926
193 "Disk" "Lake Charles" 0 20 1 2072666428.44859
194 "Ellipsoid" "Lake Charles" 0 20 1 2202904201.97909
195 "Disk" "McMinnville" 0 20 1 2485898242.71633
196 "Ellipsoid" "McMinnville" 0 20 1 2680515631.09663
197 "Disk" "Lindenberg" 0 20 1 2253372708.41106
