"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "CentroidX" "CentroidY"
108 "Ellipsoid" "Lindenberg" 0.2 15 1 1.07844803051319 3.40481346713933
109 "Disk" "Croker river" 0.2 15 1 1.09521515223873 3.36998102688132
110 "Ellipsoid" "Croker river" 0.2 15 1 0.683517207742838 3.49345430502563
111 "Disk" "Phillip SW Belize" 0.15 15 1 1.61677044337818 1.30649374294005
112 "Ellipsoid" "Phillip SW Belize" 0.15 15 1 1.47165544979088 1.49590652846878
113 "Disk" "Lake Charles" 0.15 15 1 1.56357563587196 2.14822640789424
114 "Ellipsoid" "Lake Charles" 0.15 15 1 1.39350640952309 2.20026704908823
115 "Disk" "McMinnville" 0.15 15 1 1.5546717644259 3.40060312001166
116 "Ellipsoid" "McMinnville" 0.15 15 1 1.20222370679991 3.11914515546228
117 "Disk" "Lindenberg" 0.15 15 1 1.62800787706562 3.80196391815315
118 "Ellipsoid" "Lindenberg" 0.15 15 1 1.14509560527746 3.69440211133905
119 "Disk" "Croker river" 0.15 15 1 1.22009180402743 3.6682749703184
120 "Ellipsoid" "Croker river" 0.15 15 1 0.721433598247504 3.78907433254259
121 "Disk" "Phillip SW Belize" 0.1 15 1 1.78854575092959 1.43832426869648
122 "Ellipsoid" "Phillip SW Belize" 0.1 15 1 1.60233681861294 1.63973992731102
123 "Disk" "Lake Charles" 0.1 15 1 1.70577092931678 2.35579555829564
124 "Ellipsoid" "Lake Charles" 0.1 15 1 1.50602947253828 2.40035764861588
125 "Disk" "McMinnville" 0.1 15 1 1.68505066020425 3.68232136231061
126 "Ellipsoid" "McMinnville" 0.1 15 1 1.27931416269863 3.37401032720606
127 "Disk" "Lindenberg" 0.1 15 1 1.76752532720961 4.1062402731838
128 "Ellipsoid" "Lindenberg" 0.1 15 1 1.2101031829553 3.99459305940881
129 "Disk" "Croker river" 0.1 15 1 1.35521850964675 3.98179105932547
130 "Ellipsoid" "Croker river" 0.1 15 1 0.758061819540095 4.09622888182407
131 "Disk" "Phillip SW Belize" 0.05 15 1 1.97457138052984 1.57906596640275
132 "Ellipsoid" "Phillip SW Belize" 0.05 15 1 1.74168922190627 1.78900787817543
133 "Disk" "Lake Charles" 0.05 15 1 1.85532890231006 2.57804844832896
134 "Ellipsoid" "Lake Charles" 0.05 15 1 1.6239825609929 2.6091175374964
