"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "CentroidX" "CentroidY"
111 "Disk" "Phillip SW Belize" 0.15 15 1 2.04188984392968 1.36528605021499
112 "Ellipsoid" "Phillip SW Belize" 0.15 15 1 3.01006706743762 3.21991480575817
113 "Disk" "Lake Charles" 0.15 15 1 1.90974676317693 2.50459339655004
114 "Ellipsoid" "Lake Charles" 0.15 15 1 2.94808864062064 4.74894072645388
115 "Disk" "McMinnville" 0.15 15 1 1.86054180272432 3.92832414210998
116 "Ellipsoid" "McMinnville" 0.15 15 1 2.55588286499483 7.91537864231143
117 "Disk" "Lindenberg" 0.15 15 1 2.02280531790367 4.27418152057024
118 "Ellipsoid" "Lindenberg" 0.15 15 1 2.11658164298398 10.3452239679655
119 "Disk" "Croker river" 0.15 15 1 1.41977247364752 3.81595100414215
120 "Ellipsoid" "Croker river" 0.15 15 1 1.44144652420595 18.2123675698605
121 "Disk" "Phillip SW Belize" 0.1 15 1 2.04188984392968 1.36528605021499
122 "Ellipsoid" "Phillip SW Belize" 0.1 15 1 3.01006706743762 3.21991480575817
123 "Disk" "Lake Charles" 0.1 15 1 1.90974676317693 2.50459339655004
124 "Ellipsoid" "Lake Charles" 0.1 15 1 2.94808864062064 4.74894072645388
125 "Disk" "McMinnville" 0.1 15 1 1.86054180272432 3.92832414210998
126 "Ellipsoid" "McMinnville" 0.1 15 1 2.55588286499483 7.91537864231143
127 "Disk" "Lindenberg" 0.1 15 1 2.02280531790367 4.27418152057024
128 "Ellipsoid" "Lindenberg" 0.1 15 1 2.11658164298398 10.3452239679655
129 "Disk" "Croker river" 0.1 15 1 1.41977247364752 3.81595100414215
130 "Ellipsoid" "Croker river" 0.1 15 1 1.44144652420595 18.2123675698605
131 "Disk" "Phillip SW Belize" 0.05 15 1 2.04188984392968 1.36528605021499
132 "Ellipsoid" "Phillip SW Belize" 0.05 15 1 3.01006706743762 3.21991480575817
133 "Disk" "Lake Charles" 0.05 15 1 1.90974676317693 2.50459339655004
134 "Ellipsoid" "Lake Charles" 0.05 15 1 2.94808864062064 4.74894072645388
135 "Disk" "McMinnville" 0.05 15 1 1.86054180272432 3.92832414210998
136 "Ellipsoid" "McMinnville" 0.05 15 1 2.55588286499483 7.91537864231143
137 "Disk" "Lindenberg" 0.05 15 1 2.02280531790367 4.27418152057024
138 "Ellipsoid" "Lindenberg" 0.05 15 1 2.11658164298398 10.3452239679655
139 "Disk" "Croker river" 0.05 15 1 1.41977247364752 3.81595100414215
140 "Ellipsoid" "Croker river" 0.05 15 1 1.44144652420595 18.2123675698605
141 "Disk" "Phillip SW Belize" 0 15 1 2.04188984392968 1.36528605021499
142 "Ellipsoid" "Phillip SW Belize" 0 15 1 3.01006706743762 3.21991480575817
143 "Disk" "Lake Charles" 0 15 1 1.90974676317693 2.50459339655004
144 "Ellipsoid" "Lake Charles" 0 15 1 2.94808864062064 4.74894072645388
145 "Disk" "McMinnville" 0 15 1 1.86054180272432 3.92832414210998
146 "Ellipsoid" "McMinnville" 0 15 1 2.55588286499483 7.91537864231143
147 "Disk" "Lindenberg" 0 15 1 2.02280531790367 4.27418152057024
148 "Ellipsoid" "Lindenberg" 0 15 1 2.11658164298398 10.3452239679655
149 "Disk" "Croker river" 0 15 1 1.41977247364752 3.81595100414215
150 "Ellipsoid" "Croker river" 0 15 1 1.44144652420595 18.2123675698605
151 "Disk" "Phillip SW Belize" 0.2 20 1 2.04986742098178 0.239711190826294
152 "Ellipsoid" "Phillip SW Belize" 0.2 20 1 3.24853285804621 0.892041521318131
153 "Disk" "Lake Charles" 0.2 20 1 2.05385244282142 2.20482194076729
154 "Ellipsoid" "Lake Charles" 0.2 20 1 3.2947873077679 3.25738328734282
155 "Disk" "McMinnville" 0.2 20 1 1.93888386069482 4.5471198821638
156 "Ellipsoid" "McMinnville" 0.2 20 1 3.19512303883798 7.17583159827532
157 "Disk" "Lindenberg" 0.2 20 1 1.99278197528432 5.32151924079944
158 "Ellipsoid" "Lindenberg" 0.2 20 1 2.85059858052893 9.74084941043501
159 "Disk" "Croker river" 0.2 20 1 1.21735865080851 5.21495882419125
160 "Ellipsoid" "Croker river" 0.2 20 1 1.99385402360257 17.2747323674333
161 "Disk" "Phillip SW Belize" 0.15 20 1 2.04986742098178 0.239711190826294
162 "Ellipsoid" "Phillip SW Belize" 0.15 20 1 3.24853285804621 0.892041521318131
163 "Disk" "Lake Charles" 0.15 20 1 2.05385244282142 2.20482194076729
164 "Ellipsoid" "Lake Charles" 0.15 20 1 3.2947873077679 3.25738328734282
165 "Disk" "McMinnville" 0.15 20 1 1.93888386069482 4.5471198821638
166 "Ellipsoid" "McMinnville" 0.15 20 1 3.19512303883798 7.17583159827532
167 "Disk" "Lindenberg" 0.15 20 1 1.99278197528432 5.32151924079944
168 "Ellipsoid" "Lindenberg" 0.15 20 1 2.85059858052893 9.74084941043501
169 "Disk" "Croker river" 0.15 20 1 1.21735865080851 5.21495882419125
