"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "ShadeTolerance" "Proportion"
48 "Ellipsoid" "Lindenberg" 0 5 1 "intermediate" 0.349481832937945
48 "Ellipsoid" "Lindenberg" 0 5 1 "low" 0.00437008365588713
49 "Disk" "Croker river" 0 5 1 "high" 0.49207141965289
49 "Disk" "Croker river" 0 5 1 "intermediate" 0.50792858034711
49 "Disk" "Croker river" 0 5 1 "low" 0
50 "Ellipsoid" "Croker river" 0 5 1 "high" 0.456736171806717
50 "Ellipsoid" "Croker river" 0 5 1 "intermediate" 0.543263828193283
50 "Ellipsoid" "Croker river" 0 5 1 "low" 0
51 "Disk" "Phillip SW Belize" 0.2 10 1 "high" 0.0694219003620926
51 "Disk" "Phillip SW Belize" 0.2 10 1 "intermediate" 0.631914096641279
51 "Disk" "Phillip SW Belize" 0.2 10 1 "low" 0.298664002996629
52 "Ellipsoid" "Phillip SW Belize" 0.2 10 1 "high" 0.0648020976401548
52 "Ellipsoid" "Phillip SW Belize" 0.2 10 1 "intermediate" 0.602946684979398
52 "Ellipsoid" "Phillip SW Belize" 0.2 10 1 "low" 0.332251217380447
53 "Disk" "Lake Charles" 0.2 10 1 "high" 0.0660506929704083
53 "Disk" "Lake Charles" 0.2 10 1 "intermediate" 0.622799350730428
53 "Disk" "Lake Charles" 0.2 10 1 "low" 0.311149956299163
54 "Ellipsoid" "Lake Charles" 0.2 10 1 "high" 0.066300412036459
54 "Ellipsoid" "Lake Charles" 0.2 10 1 "intermediate" 0.591209888875016
54 "Ellipsoid" "Lake Charles" 0.2 10 1 "low" 0.342489699088525
55 "Disk" "McMinnville" 0.2 10 1 "high" 0.0357098264452491
55 "Disk" "McMinnville" 0.2 10 1 "intermediate" 0.618429267074541
55 "Disk" "McMinnville" 0.2 10 1 "low" 0.34586090648021
56 "Ellipsoid" "McMinnville" 0.2 10 1 "high" 0.0018728929953802
56 "Ellipsoid" "McMinnville" 0.2 10 1 "intermediate" 0.606567611437133
56 "Ellipsoid" "McMinnville" 0.2 10 1 "low" 0.391559495567487
57 "Disk" "Lindenberg" 0.2 10 1 "high" 0.0167311774253964
57 "Disk" "Lindenberg" 0.2 10 1 "intermediate" 0.631914096641279
57 "Disk" "Lindenberg" 0.2 10 1 "low" 0.351354725933325
58 "Ellipsoid" "Lindenberg" 0.2 10 1 "high" 0
58 "Ellipsoid" "Lindenberg" 0.2 10 1 "intermediate" 0.613310026220502
