pxcor,pycor,Latitude,CrownShape,CrownTransmissibility,Radiation
"-200",-79,52.217,Disk,5,0
"-200",156,52.217,Disk,5,0
"-200",-30,52.217,Disk,5,0
"-200",164,52.217,Disk,5,0
"-200",-82,52.217,Disk,5,0
"-200",-164,52.217,Disk,5,0
"-200",-173,52.217,Disk,5,0
"-200",150,52.217,Disk,5,0
"-200",55,52.217,Disk,5,0
"-200",193,52.217,Disk,5,0
"-200",-129,52.217,Disk,5,0
"-200",-130,52.217,Disk,5,0
"-200",30,52.217,Disk,5,0
"-200",-195,52.217,Disk,5,0
"-200",-87,52.217,Disk,5,0
"-200",139,52.217,Disk,5,0
"-200",-170,52.217,Disk,5,0
"-200",111,52.217,Disk,5,0
"-200",126,52.217,Disk,5,0
"-200",-111,52.217,Disk,5,0
"-200",-34,52.217,Disk,5,0
"-200",-25,52.217,Disk,5,0
"-200",181,52.217,Disk,5,0
"-200",67,52.217,Disk,5,0
"-200",-136,52.217,Disk,5,0
"-200",152,52.217,Disk,5,0
"-200",70,52.217,Disk,5,0
"-200",-9,52.217,Disk,5,0
"-200",122,52.217,Disk,5,0
"-200",96,52.217,Disk,5,0
"-200",117,52.217,Disk,5,0
"-200",-101,52.217,Disk,5,0
"-200",90,52.217,Disk,5,0
"-200",-68,52.217,Disk,5,0
"-200",162,52.217,Disk,5,0
"-200",-7,52.217,Disk,5,0
"-200",83,52.217,Disk,5,0
"-200",37,52.217,Disk,5,0
"-200",-13,52.217,Disk,5,0
"-200",-41,52.217,Disk,5,0
"-200",102,52.217,Disk,5,0
"-200",81,52.217,Disk,5,0
"-200",183,52.217,Disk,5,0
"-200",-76,52.217,Disk,5,0
"-200",51,52.217,Disk,5,0
"-200",-3,52.217,Disk,5,0
"-200",88,52.217,Disk,5,0
"-200",36,52.217,Disk,5,0
"-200",-132,52.217,Disk,5,0
"-200",-181,52.217,Disk,5,0
"-200",77,52.217,Disk,5,0
"-200",42,52.217,Disk,5,0
"-200",187,52.217,Disk,5,0
"-200",57,52.217,Disk,5,0
"-200",104,52.217,Disk,5,0
"-200",13,52.217,Disk,5,0
"-200",133,52.217,Disk,5,0
"-200",-54,52.217,Disk,5,0
"-200",116,52.217,Disk,5,0
"-200",-6,52.217,Disk,5,0
"-200",-85,52.217,Disk,5,0
"-200",197,52.217,Disk,5,0
"-200",50,52.217,Disk,5,0
